Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Jamie Vardy,FW,Leicester City,35,35,"2,823",31.4,9,4,13,8,1,2,5,0,11.2,9.6,3,12.6,29,22,120,0.29,0.13,0.41,0.26,,,,,,,,0.0,297.0,0.0,43.0
Renato Veiga,"DF,MF",Chelsea,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3,0,0,0,0,,,,,,,,0.0,297.0,0.0,8.5
Joël Veltman,DF,Brighton,21,19,"1,697",18.9,0,0,0,0,0,0,5,0,0.5,0.5,0.5,0.9,32,85,34,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Micky van de Ven,DF,Tottenham,13,12,"1,015",11.3,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0,0.18,0.18,0,,,,,,,,0.0,297.0,0.0,93.5
Bart Verbruggen,GK,Brighton,36,36,"3,240",36,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0.03,0.03,0,,,,,,,,0.0,297.0,0.0,22.5
Jannik Vestergaard,DF,Leicester City,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Guglielmo Vicario,GK,Tottenham,24,24,"2,160",24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Carlos Vinícius,"MF,FW",Fulham,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Kyle Walker,DF,Manchester City,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Kyle Walker-Peters,DF,Southampton,33,33,"2,918",32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0,0.06,0.06,0,,,,,,,,0.0,297.0,0.0,93.5
Christian Walton,GK,Ipswich Town,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Aaron Wan-Bissaka,DF,West Ham,36,35,"3,154",35,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,,,,,,,,0.0,297.0,0.0,93.5
Danny Ward,GK,Leicester City,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Joel Ward,DF,Crystal Palace,2,1,71,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
James Ward-Prowse,MF,West Ham,15,12,"1,039",11.5,1,1,2,1,0,0,2,0,1.6,1.6,1.9,3.6,11,54,9,0.09,0.09,0.17,0.09,,,,,,,,0.0,297.0,0.0,56.5
James Ward-Prowse,MF,Nott'ham Forest,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0,0.23,0.23,0,,,,,,,,0.0,297.0,0.0,56.5
Ollie Watkins,FW,Aston Villa,38,31,"2,598",28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,,,,,,,,0.0,297.0,0.0,43.0
Adam Webster,DF,Brighton,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Danny Welbeck,FW,Brighton,30,24,"2,115",23.5,10,4,14,9,1,1,5,0,9.6,8.8,1.4,10.1,21,47,95,0.43,0.17,0.6,0.38,,,,,,,,0.0,297.0,0.0,43.0
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Welington,DF,Southampton,10,6,482,5.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,11,19,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Timo Werner,"FW,MF",Tottenham,18,4,516,5.7,0,3,3,0,0,0,0,0,1,1,2.5,3.5,42,30,89,0,0.52,0.52,0,,,,,,,,0.0,297.0,0.0,30.5
Adam Wharton,MF,Crystal Palace,20,16,"1,318",14.6,0,2,2,0,0,0,2,0,0.4,0.4,3,3.4,14,107,11,0,0.14,0.14,0,,,,,,,,0.0,297.0,0.0,56.5
Ben White,DF,Arsenal,17,13,"1,198",13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0,0.15,0.15,0,,,,,,,,0.0,297.0,0.0,93.5
Mats Wieffer,"DF,MF",Brighton,25,10,"1,015",11.3,1,3,4,1,0,0,6,0,0.8,0.8,1.6,2.4,18,62,23,0.09,0.27,0.35,0.09,,,,,,,,0.0,297.0,0.0,8.5
Neco Williams,DF,Nott'ham Forest,35,28,"2,594",28.8,1,3,4,1,0,0,7,0,2.3,2.3,1.6,3.9,68,89,103,0.03,0.1,0.14,0.03,,,,,,,,0.0,297.0,0.0,93.5
Willian,"FW,MF",Fulham,10,2,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,11,40,33,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Joe Willock,"MF,FW",Newcastle Utd,32,11,"1,086",12.1,0,2,2,0,0,0,4,0,1.6,1.6,2.1,3.8,38,41,86,0,0.17,0.17,0,,,,,,,,0.0,297.0,0.0,22.5
Callum Wilson,FW,Newcastle Utd,18,2,370,4.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,4,17,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Harry Wilson,"FW,MF",Fulham,25,12,"1,162",12.9,6,1,7,6,0,0,2,0,4.2,4.2,1.1,5.3,22,51,96,0.46,0.08,0.54,0.46,,,,,,,,0.0,297.0,0.0,30.5
Harry Winks,MF,Leicester City,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0,0.12,0.12,0,,,,,,,,0.0,297.0,0.0,56.5
Ben Winterburn,"MF,FW",Bournemouth,4,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Yoane Wissa,FW,Brentford,35,34,"2,919",32.4,19,4,23,19,0,0,5,0,18.5,18.5,2.6,21.1,60,67,154,0.59,0.12,0.71,0.59,,,,,,,,0.0,297.0,0.0,43.0
Chris Wood,FW,Nott'ham Forest,36,35,"2,959",32.9,20,3,23,17,3,3,1,0,13.4,11,2.6,13.6,14,42,94,0.61,0.09,0.7,0.52,,,,,,,,0.0,297.0,0.0,43.0
Nathan Wood-Gordon,DF,Southampton,11,9,773,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,17,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Luke Woolfenden,DF,Ipswich Town,15,12,"1,187",13.2,0,0,0,0,0,0,2,0,0,0,0,0,7,15,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Yehor Yarmoliuk,MF,Brentford,31,15,"1,450",16.1,0,0,0,0,0,0,6,0,0.6,0.6,0.9,1.5,15,63,47,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Ryan Yates,MF,Nott'ham Forest,35,18,"1,915",21.3,2,1,3,2,0,0,10,0,2.3,2.3,1.2,3.5,18,53,16,0.09,0.05,0.14,0.09,,,,,,,,0.0,297.0,0.0,56.5
Leny Yoro,DF,Manchester Utd,21,12,"1,165",12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Ashley Young,DF,Everton,32,19,"1,875",20.8,1,3,4,1,0,0,7,1,0.3,0.3,2.3,2.6,24,90,32,0.05,0.14,0.19,0.05,,,,,,,,0.0,297.0,0.0,93.5
Illia Zabarnyi,DF,Bournemouth,36,35,"3,109",34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2,27,140,4,0,0.03,0.03,0,,,,,,,,0.0,297.0,0.0,93.5
Oleksandr Zinchenko,"DF,MF",Arsenal,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0,0.17,0.17,0,,,,,,,,0.0,297.0,0.0,8.5
Joshua Zirkzee,"FW,MF",Manchester Utd,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,,,,,,,,0.0,297.0,0.0,30.5
Martin Ødegaard,MF,Arsenal,30,26,"2,325",25.8,3,8,11,2,1,1,4,0,4.8,4,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,,,,,,,,0.0,297.0,0.0,56.5
