Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Rodrigo Muniz,FW,Fulham,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,,,,,,,,0.0,297.0,0.0,43.0
Daniel Muñoz,DF,Crystal Palace,37,37,"3,228",35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,206,0.11,0.14,0.25,0.11,,,,,,,,0.0,297.0,0.0,93.5
Arijanet Muric,GK,Ipswich Town,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Murillo,DF,Nott'ham Forest,36,36,"3,188",35.4,2,0,2,2,0,0,6,0,1.4,1.4,1.2,2.6,22,115,5,0.06,0,0.06,0.06,,,,,,,,0.0,297.0,0.0,93.5
Jacob Murphy,FW,Newcastle Utd,35,31,"2,360",26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,0.31,0.46,0.76,0.31,,,,,,,,0.0,297.0,0.0,43.0
Vitaliy Mykolenko,DF,Everton,35,35,"3,082",34.2,1,2,3,1,0,0,4,0,0.5,0.5,2.6,3.1,33,110,99,0.03,0.06,0.09,0.03,,,,,,,,0.0,297.0,0.0,93.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Iliman Ndiaye,FW,Everton,33,29,"2,430",27,9,0,9,7,2,2,3,0,6.2,4.7,1.9,6.5,86,59,122,0.33,0,0.33,0.26,,,,,,,,0.0,297.0,0.0,43.0
Wilfred Ndidi,MF,Leicester City,28,28,"2,324",25.8,0,5,5,0,0,0,8,0,2,2,1.9,3.9,18,70,75,0,0.19,0.19,0,,,,,,,,0.0,297.0,0.0,56.5
Kosta Nedeljković,DF,Aston Villa,5,0,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
