date,country_name,party_name,voting_intention
2026-05-22,Great Britain,Liberal Democrats,12.3
2026-05-22,Great Britain,Plaid Cymru,1.24
2026-05-22,Great Britain,Reform UK,27.31
2026-05-22,Great Britain,SNP,3.05
2026-05-21,Great Britain,Other,4.59
2026-05-21,Great Britain,Conservative,18.18
2026-05-21,Great Britain,Green Party,14.63
2026-05-21,Great Britain,Labour,18.72
2026-05-21,Great Britain,Liberal Democrats,12.29
2026-05-21,Great Britain,Plaid Cymru,1.24
2026-05-21,Great Britain,Reform UK,27.37
2026-05-21,Great Britain,SNP,3.05
2026-05-20,Great Britain,Other,4.77
2026-05-20,Great Britain,Conservative,18.16
2026-05-20,Great Britain,Green Party,15.06
2026-05-20,Great Britain,Labour,18.54
2026-05-20,Great Britain,Liberal Democrats,12.19
2026-05-20,Great Britain,Plaid Cymru,1.21
2026-05-20,Great Britain,Reform UK,27.08
2026-05-20,Great Britain,SNP,3.05
2026-05-19,Great Britain,Other,4.92
2026-05-19,Great Britain,Conservative,18.23
2026-05-19,Great Britain,Green Party,15.16
2026-05-19,Great Britain,Labour,18.45
2026-05-19,Great Britain,Liberal Democrats,12.19
2026-05-19,Great Britain,Plaid Cymru,1.16
2026-05-19,Great Britain,Reform UK,26.97
2026-05-19,Great Britain,SNP,3.02
2026-05-18,Great Britain,Other,5.11
2026-05-18,Great Britain,Conservative,18.18
2026-05-18,Great Britain,Green Party,15.54
2026-05-18,Great Britain,Labour,18.12
2026-05-18,Great Britain,Liberal Democrats,12.14
2026-05-18,Great Britain,Plaid Cymru,1.24
2026-05-18,Great Britain,Reform UK,26.85
2026-05-18,Great Britain,SNP,2.97
2026-05-15,Great Britain,Other,5.18
2026-05-15,Great Britain,Conservative,18.07
2026-05-15,Great Britain,Green Party,16.03
2026-05-15,Great Britain,Labour,17.88
2026-05-15,Great Britain,Liberal Democrats,12.02
2026-05-15,Great Britain,Reform UK,26.76
2026-05-15,Great Britain,SNP,2.91
2026-05-13,Great Britain,Other,5.1
2026-05-13,Great Britain,Conservative,18.19
2026-05-13,Great Britain,Green Party,15.97
2026-05-13,Great Britain,Labour,17.91
2026-05-13,Great Britain,Liberal Democrats,12.08
2026-05-13,Great Britain,Plaid Cymru,1.24
2026-05-13,Great Britain,Reform UK,26.61
2026-05-13,Great Britain,SNP,2.91
2026-05-12,Great Britain,Other,5.11
2026-05-12,Great Britain,Conservative,18.06
2026-05-12,Great Britain,Green Party,15.77
2026-05-12,Great Britain,Labour,18.42
2026-05-12,Great Britain,Liberal Democrats,11.95
2026-05-12,Great Britain,Plaid Cymru,1.17
2026-05-12,Great Britain,Reform UK,26.7
2026-05-12,Great Britain,SNP,2.84
2026-05-11,Great Britain,Other,5.35
2026-05-11,Great Britain,Conservative,18.0
2026-05-11,Great Britain,Green Party,16.14
2026-05-11,Great Britain,Labour,18.23
2026-05-11,Great Britain,Liberal Democrats,11.8
2026-05-11,Great Britain,Plaid Cymru,1.18
2026-05-11,Great Britain,Reform UK,26.47
2026-05-11,Great Britain,SNP,2.83
2026-05-08,Great Britain,Other,5.33
2026-05-08,Great Britain,Conservative,18.09
2026-05-08,Great Britain,Green Party,16.3
2026-05-08,Great Britain,Labour,18.37
2026-05-08,Great Britain,Liberal Democrats,11.78
2026-05-08,Great Britain,Plaid Cymru,1.1
2026-05-08,Great Britain,Reform UK,26.25
2026-05-08,Great Britain,SNP,2.78
2026-05-06,Great Britain,Other,5.4
2026-05-06,Great Britain,Conservative,18.25
2026-05-06,Great Britain,Green Party,16.32
2026-05-06,Great Britain,Labour,18.32
2026-05-06,Great Britain,Liberal Democrats,11.91
2026-05-06,Great Britain,Plaid Cymru,1.07
2026-05-06,Great Britain,Reform UK,25.97
2026-05-06,Great Britain,SNP,2.75
2026-05-05,Great Britain,Other,5.33
2026-05-05,Great Britain,Conservative,18.11
2026-05-05,Great Britain,Green Party,15.87
2026-05-05,Great Britain,Labour,18.72
2026-05-05,Great Britain,Liberal Democrats,11.92
2026-05-05,Great Britain,Plaid Cymru,1.08
2026-05-05,Great Britain,Reform UK,26.22
2026-05-05,Great Britain,SNP,2.76
2026-05-04,Great Britain,Other,5.39
2026-05-04,Great Britain,Conservative,18.08
2026-05-04,Great Britain,Green Party,16.23
2026-05-04,Great Britain,Labour,18.54
2026-05-04,Great Britain,Liberal Democrats,11.67
2026-05-04,Great Britain,Plaid Cymru,1.15
2026-05-04,Great Britain,Reform UK,26.19
2026-05-04,Great Britain,SNP,2.75
2026-05-01,Great Britain,Other,5.49
2026-05-01,Great Britain,Conservative,18.07
2026-05-01,Great Britain,Green Party,16.45
2026-05-01,Great Britain,Labour,18.28
2026-05-01,Great Britain,Liberal Democrats,11.7
2026-05-01,Great Britain,Plaid Cymru,1.15
2026-05-01,Great Britain,Reform UK,26.04
2026-05-01,Great Britain,SNP,2.81
2026-04-30,Great Britain,Other,5.64
2026-04-30,Great Britain,Conservative,18.02
2026-04-30,Great Britain,Green Party,16.95
2026-04-30,Great Britain,Labour,17.89
2026-04-30,Great Britain,Liberal Democrats,11.66
2026-04-30,Great Britain,Plaid Cymru,1.15
2026-04-30,Great Britain,Reform UK,25.88
2026-04-30,Great Britain,SNP,2.81
2026-04-30,Scotland,Other,2.36
2026-04-30,Scotland,Conservative,10.76
2026-04-30,Scotland,Green Party,9.19
2026-04-30,Scotland,Labour,16.51
2026-04-30,Scotland,Liberal Democrats,8.83
2026-04-30,Scotland,Reform UK,19.83
2026-04-30,Scotland,SNP,32.66
