Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Telma Encarnaá?o,FW,pt Portugal,23-278,2001,2,0,28,0.3,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,0,1,3,3.21,0,3.21,3.21,3.21,1.33,0.32,1.65,1.33,1.65,Matches
Magdalena Eriksson,DF,se Sweden,31-311,1993,1,1,90,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,4,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
Hannah Eurlings,"FW,MF",be Belgium,22-196,2003,2,2,137,1.5,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,4,4,18,0.66,0,0.66,0.66,0.66,0.5,0.07,0.57,0.5,0.57,Matches
Gemma Evans,DF,wls Wales,28-349,1996,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Jennifer Falk,GK,se Sweden,32-081,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreia Faria,FW,pt Portugal,25-088,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.87,0,0.87,0.87,0.87,Matches
Jana Fern†ndez,DF,es Spain,23-148,2002,2,1,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,8,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Jess Fishlock,"FW,MF",wls Wales,38-183,1987,3,3,239,2.7,1,1,2,1,0,0,1,0,0.5,0.5,0.5,0.9,4,8,5,0.38,0.38,0.75,0.38,0.75,0.18,0.18,0.35,0.18,0.35,Matches
Cecilie Fiskerstrand,GK,no Norway,29-118,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Svenja Fîlmli,FW,ch Switzerland,22-331,2002,2,2,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,1,4,0,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches
Beatriz Fonseca,DF,pt Portugal,26-304,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Sanni Franssi,"FW,MF",fi Finland,30-119,1995,3,1,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,5,10,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
Laura Freigang,MF,de Germany,27-165,1998,3,1,87,1,0,0,0,0,0,0,0,0,0,0,0.1,0.2,4,7,8,0,0,0,0,0,0.04,0.13,0.17,0.04,0.17,Matches
Emma Fërge,DF,dk Denmark,24-222,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Kelly Gago,"MF,FW",fr France,26-192,1999,1,0,25,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,Matches
Signe Gaupset,FW,no Norway,20-028,2005,2,1,135,1.5,2,2,4,2,0,0,0,0,0.3,0.3,1.2,1.5,6,6,18,1.33,1.33,2.67,1.33,2.67,0.21,0.81,1.02,0.21,1.02,Matches
Grace Geyoro,MF,fr France,28-014,1997,3,2,196,2.2,1,0,1,1,0,0,0,0,1.1,1.1,0.5,1.6,5,13,8,0.46,0,0.46,0.46,0.46,0.51,0.24,0.75,0.51,0.75,Matches
Cristiana Girelli,FW,it Italy,35-084,1990,3,2,209,2.3,1,0,1,1,0,0,0,0,1.5,1.5,0,1.5,1,7,9,0.43,0,0.43,0.43,0.43,0.64,0.02,0.66,0.64,0.66,Matches
Manuela Giugliano,MF,it Italy,27-332,1997,3,3,185,2.1,0,0,0,0,0,0,1,0,0,0,0.4,0.5,1,13,3,0,0,0,0,0,0.02,0.2,0.22,0.02,0.22,Matches
Laura Giuliani,GK,it Italy,32-041,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Diana Gomes,DF,pt Portugal,26-355,1998,3,3,270,3,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,0,10,1,0.33,0,0.33,0.33,0.33,0.26,0.1,0.36,0.26,0.36,Matches
Esther Gonz†lez,FW,es Spain,32-220,1992,3,2,152,1.7,4,0,4,4,0,0,0,0,3.3,3.3,0.1,3.4,2,3,14,2.37,0,2.37,2.37,2.37,1.93,0.08,2.02,1.93,2.02,Matches
Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dominika Grabowska,MF,pl Poland,26-202,1998,2,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,2,0,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
Caroline Graham Hansen,"MF,FW",no Norway,30-148,1995,2,2,175,1.9,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.5,7,2,12,0.51,0,0.51,0.51,0.51,0.14,0.13,0.28,0.14,0.28,Matches
Chasity Grant,FW,nl Netherlands,24-088,2001,3,2,184,2,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,1,6,18,0,0.49,0.49,0,0.49,0.12,0.04,0.16,0.12,0.16,Matches
Josephine Green,DF,wls Wales,32-082,1993,3,2,198,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,1,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
Kayleigh Green,"MF,FW",wls Wales,37-116,1988,3,1,97,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,2,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
Alex Greenwood,DF,eng England,31-312,1993,3,3,265,2.9,0,0,0,0,0,0,0,0,0,0,0.3,0.3,6,19,4,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Giada Greggi,MF,it Italy,25-148,2000,2,0,70,0.8,0,1,1,0,0,0,0,0,0,0,0.1,0.1,2,9,1,0,1.29,1.29,0,1.29,0,0.08,0.08,0,0.08,Matches
Jackie Groenen,MF,nl Netherlands,30-211,1994,3,3,264,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,9,2,0,0,0,0,0,0.04,0.07,0.11,0.04,0.11,Matches
Patricia Guijarro,MF,es Spain,27-060,1998,3,3,266,3,1,1,2,1,0,0,0,0,0.3,0.3,0.2,0.6,2,27,7,0.34,0.34,0.68,0.34,0.68,0.11,0.07,0.19,0.11,0.19,Matches
Giulia Gwinn,DF,de Germany,26-014,1999,1,1,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,Matches
Hannah Hampton,GK,eng England,24-242,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tuva Hansen,DF,no Norway,27-346,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Matches
Pernille Harder,"FW,MF",dk Denmark,32-243,1992,3,3,204,2.3,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.1,8,12,9,0,0,0,0,0,0.2,0.28,0.48,0.2,0.48,Matches
Anni Hartikainen,DF,fi Finland,21-331,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
Mathilde Harviken,DF,no Norway,23-199,2001,3,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Josefine Hasbo,MF,dk Denmark,23-238,2001,3,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,Matches
Ada Hegerberg,FW,no Norway,30-006,1995,2,2,162,1.8,1,0,1,1,0,1,0,0,1.6,0.9,0,0.9,0,2,3,0.56,0,0.56,0.56,0.56,0.89,0.02,0.91,0.49,0.51,Matches
Lauren Hemp,FW,eng England,24-343,2000,3,3,210,2.3,1,0,1,1,0,0,0,0,0.5,0.5,1.5,2,8,2,19,0.43,0,0.43,0.43,0.43,0.23,0.63,0.85,0.23,0.85,Matches
Kathrin Hendrich,DF,de Germany,33-101,1992,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Giovanna Hoffmann,FW,de Germany,26-299,1998,3,0,70,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,1,4,0,0,0,0,0,0.52,0.09,0.61,0.52,0.61,Matches
Ceri Holland,"MF,FW",wls Wales,27-216,1997,3,3,232,2.6,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,5,3,7,0,0.39,0.39,0,0.39,0.02,0.17,0.19,0.02,0.19,Matches
Smilla Holmberg,DF,se Sweden,18-278,2006,2,1,115,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.4,0.5,3,4,4,0.78,0,0.78,0.78,0.78,0.11,0.29,0.39,0.11,0.39,Matches
Karen Holmgaard,MF,dk Denmark,26-169,1999,3,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,7,2,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Sara Holmgaard,"DF,MF",dk Denmark,26-169,1999,3,3,225,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0,0.2,0,5,13,0,0.4,0.4,0,0.4,0.07,0.02,0.09,0.07,0.09,Matches
Elise Hughes,FW,wls Wales,24-092,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lina Hurtig,MF,se Sweden,29-314,1995,3,0,67,0.7,2,0,2,2,0,0,0,0,0.9,0.9,0.1,1,0,3,1,2.69,0,2.69,2.69,2.69,1.23,0.08,1.3,1.23,1.3,Matches
Celin Ildhus?y,FW,no Norway,23-265,2001,3,1,92,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,9,0,0,0,0,0,0.14,0.05,0.19,0.14,0.19,Matches
Amanda Ilestedt,DF,se Sweden,32-180,1993,1,1,90,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,3,0,0,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches
Sophie Ingle,MF,wls Wales,33-317,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noemi Ivelj,MF,ch Switzerland,18-257,2006,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Andreia Jacinto,MF,pt Portugal,23-038,2002,3,1,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,8,3,0,0,0,0,0,0.08,0.21,0.29,0.08,0.29,Matches
Amanda Jacobsen Andrad¢ttir,MF,is Iceland,21-210,2003,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sofia Jakobsson,FW,se Sweden,35-084,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Angharad James,MF,wls Wales,31-045,1994,3,3,270,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,3,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Lauren James,"FW,MF",eng England,23-290,2001,3,3,183,2,2,0,2,2,0,0,0,0,1.4,1.4,0.7,2.1,7,6,27,0.98,0,0.98,0.98,0.98,0.71,0.32,1.03,0.71,1.03,Matches
Sveind°s Jane J¢nsd¢ttir,"FW,MF",is Iceland,24-041,2001,3,3,270,3,1,1,2,1,0,0,0,0,0.8,0.8,1.2,2,5,2,21,0.33,0.33,0.67,0.33,0.67,0.25,0.4,0.66,0.25,0.66,Matches
Madelen Janogy,FW,se Sweden,29-246,1995,3,2,186,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.4,6,2,15,0,0,0,0,0,0.29,0.36,0.65,0.29,0.65,Matches
Renate Jansen,FW,nl Netherlands,34-221,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0,5.62,5.62,0,5.62,Matches
Dominique Janssen,DF,nl Netherlands,30-180,1995,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,12,5,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Jill Janssens,DF,be Belgium,21-286,2003,3,3,233,2.6,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.4,2,8,13,0,0.39,0.39,0,0.39,0.09,0.05,0.15,0.09,0.15,Matches
Oriane Jean-Franáois,MF,fr France,23-336,2001,2,2,180,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,10,2,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Klaudia Jedli?ska,FW,pl Poland,25-157,2000,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Synne Jensen,FW,no Norway,29-151,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,2,4,0,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
Sandra Jessen,FW,is Iceland,30-179,1995,3,3,221,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,0,2,8,0,0,0,0,0,0.14,0.05,0.19,0.14,0.19,Matches
Lois Joel,FW,wls Wales,26-044,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexandra J¢hannsd¢ttir,MF,is Iceland,25-119,2000,3,3,251,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0,0.4,0,7,1,0,0.36,0.36,0,0.36,0.14,0.01,0.15,0.14,0.15,Matches
Carrie Jones,"FW,MF",wls Wales,21-315,2003,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Ewelina Kamczyk,MF,pl Poland,29-144,1996,3,2,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,6,8,4,0,0,0,0,0,0.07,0.15,0.22,0.07,0.22,Matches
Wieke Kaptein,MF,nl Netherlands,19-321,2005,3,2,203,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,8,7,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches
Sakina Karchaoui,MF,fr France,29-171,1996,3,2,182,2,1,0,1,0,1,1,0,0,0.9,0.1,0.3,0.4,2,9,11,0.49,0,0.49,0,0,0.43,0.13,0.56,0.06,0.19,Matches
Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marie-Antoinette Katoto,FW,fr France,26-257,1998,3,2,147,1.6,2,2,4,2,0,0,0,0,1.9,1.9,0.4,2.3,1,2,12,1.22,1.22,2.45,1.22,2.45,1.16,0.25,1.41,1.16,1.41,Matches
Sari Kees,DF,be Belgium,24-149,2001,3,3,270,3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,3,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Chloe Kelly,FW,eng England,27-192,1998,3,0,87,1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,1,8,0,0,0,0,0,0.09,0.19,0.29,0.09,0.29,Matches
